path,act. lumi (fb-1),eff. lumi (fb-1),first run,last run,menu version,dataset
HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v,36.75,0.0038,299368,306460,v2.0,SingleElectron
HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v,36.75,0.0035,299368,306460,v2.0,SingleElectron
HLT_IsoMu20_eta2p1_LooseChargedIsoPFTau27_eta2p1_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_IsoMu20_eta2p1_LooseChargedIsoPFTau27_eta2p1_TightID_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_IsoMu20_eta2p1_MediumChargedIsoPFTau27_eta2p1_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_IsoMu20_eta2p1_MediumChargedIsoPFTau27_eta2p1_TightID_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_IsoMu20_eta2p1_TightChargedIsoPFTau27_eta2p1_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_IsoMu20_eta2p1_TightChargedIsoPFTau27_eta2p1_TightID_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_IsoMu20_v,40.82,0.93,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_eta2p1_LooseChargedIsoPFTau20_SingleL1_v,38.71,36.01,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_eta2p1_LooseChargedIsoPFTau20_TightID_SingleL1_v,38.71,36.01,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_eta2p1_LooseChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_eta2p1_LooseChargedIsoPFTau35_Trk1_eta2p1_Reg_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau20_SingleL1_v,38.71,36.01,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau20_TightID_SingleL1_v,38.71,36.01,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau35_Trk1_eta2p1_Reg_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_eta2p1_TightChargedIsoPFTau20_SingleL1_v,38.71,36.01,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_eta2p1_TightChargedIsoPFTau20_TightID_SingleL1_v,38.71,36.01,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_eta2p1_TightChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_eta2p1_TightChargedIsoPFTau35_Trk1_eta2p1_Reg_CrossL1_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_eta2p1_v,31.81,29.22,297050,306460,v1.1,SingleMuon
HLT_IsoMu24_v,38.06,38.06,297050,306460,v1.1,SingleMuon
HLT_IsoMu27_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_IsoMu30_v,27.13,27.13,302026,306460,v3.0,SingleMuon
HLT_L1SingleMu18_v,41.54,0.0205,297050,306460,v1.1,SingleMuon
HLT_L1SingleMu25_v,41.54,0.0218,297050,306460,v1.1,SingleMuon
HLT_L1_DoubleJet30_Mass_Min400_Mu10_v,7.73,0,305405,306460,v4.0,SingleMuon
HLT_L2Mu10_v,41.54,0.039,297050,306460,v1.1,SingleMuon
HLT_L2Mu50_v,36.75,0.13,299368,306460,v2.0,SingleMuon
HLT_Mu10_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT350_PFMETNoMu60_v,36.75,0.0012,299368,306460,v2.0,SingleMuon
HLT_Mu15_IsoVVVL_PFHT450_CaloBTagCSV_4p5_v,36.75,0.0012,299368,306460,v2.0,SingleMuon
HLT_Mu15_IsoVVVL_PFHT450_PFMET50_v,36.75,0.0012,299368,306460,v2.0,SingleMuon
HLT_Mu15_IsoVVVL_PFHT450_v,36.75,0.0012,299368,306460,v2.0,SingleMuon
HLT_Mu15_IsoVVVL_PFHT600_v,36.75,0.0012,299368,306460,v2.0,SingleMuon
HLT_Mu20_v,41.54,0.57,297050,306460,v1.1,SingleMuon
HLT_Mu27_v,41.54,0.18,297050,306460,v1.1,SingleMuon
HLT_Mu3_PFJet40_v,36.75,0.0057,299368,306460,v2.0,SingleMuon
HLT_Mu50_IsoVVVL_PFHT450_v,36.75,0.0012,299368,306460,v2.0,SingleMuon
HLT_Mu50_v,41.54,41.54,297050,306460,v1.1,SingleMuon
HLT_Mu55_v,27.13,27.13,302026,306460,v3.0,SingleMuon
HLT_Mu8_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT300_PFMETNoMu60_v,36.75,0.0012,299368,306460,v2.0,SingleMuon
HLT_OldMu100_v,36.75,36.75,299368,306460,v2.0,SingleMuon
HLT_TkMu100_v,36.75,36.75,299368,306460,v2.0,SingleMuon
HLT_Photon120_R9Id90_HE10_IsoM_v,41.54,7.8,297050,306460,v1.1,SinglePhoton
HLT_Photon120_v,41.54,0.48,297050,306460,v1.1,SinglePhoton
HLT_Photon150_v,41.54,0.68,297050,306460,v1.1,SinglePhoton
HLT_Photon165_R9Id90_HE10_IsoM_v,41.54,28.34,297050,306460,v1.1,SinglePhoton
HLT_Photon175_v,41.54,1.24,297050,306460,v1.1,SinglePhoton
HLT_Photon200_v,41.54,41.54,297050,306460,v1.1,SinglePhoton
HLT_Photon20_HoverELoose_v,36.75,0.0004,299368,306460,v2.0,SinglePhoton
HLT_Photon25_v,27.13,0.0012,302026,306460,v3.0,SinglePhoton
HLT_Photon300_NoHE_v,41.54,41.54,297050,306460,v1.1,SinglePhoton
HLT_Photon30_HoverELoose_v,36.75,0.0022,299368,306460,v2.0,SinglePhoton
HLT_Photon33_v,41.54,0.0141,297050,306460,v1.1,SinglePhoton
HLT_Photon50_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_PFMET50_v,7.73,7.73,305405,306460,v4.0,SinglePhoton
HLT_Photon50_R9Id90_HE10_IsoM_v,41.54,0.3,297050,306460,v1.1,SinglePhoton
